054237155,17828,PPA_All City Taxi,4128,,916447,2015-06-13 01:02:00.000,2015-06-13 01:07:00.000,0.1,39.798250,-75.035241,"4949 N SMEDLEY ST",39.724211,-75.087358,"5804 N 04TH ST",4.77,0.00,0.00,0.00,0.65,5.42,CASH,Street Hail
054237155,17305,PPA_All City Taxi,4128,,916447,2015-06-13 01:34:00.000,2015-06-13 01:42:00.000,0.1,39.174406,-75.156646,"3914 MELON ST",39.150472,-75.793686,"5804 BALTIMORE AVE",8.22,0.00,1.77,0.00,0.65,10.64,CC CARD,Street Hail
054237155,87759,PPA_All City Taxi,4128,,916447,2015-06-12 22:23:00.000,2015-06-12 22:40:00.000,0.3,39.067905,-75.141076,"1366 NARRAGANSETT ST",39.000222,-75.360353,"400 W CHELTENHAM AVE",29.38,1.50,6.31,0.00,0.65,37.84,CC CARD,Street Hail
054237155,75958,PPA_All City Taxi,4128,,916447,2015-06-13 00:38:00.000,2015-06-13 00:53:00.000,0.3,39.069699,-75.281890,"310 MC KEAN ST",39.583030,-75.048963,"5711 N 21ST ST",28.50,0.00,7.29,0.00,0.65,36.44,CC CARD,Street Hail
239620314,46204,PPA_PHL Taxi,0643,,141876,2015-06-12 22:25:00.000,2015-06-12 22:40:00.000,0.3,39.924419,-75.350369,"1499 S CHRIS COLUMBUS BLV",39.368256,-75.848476,"1100 VINE ST",28.50,0.00,0.00,0.00,0.65,29.15,CC CARD,Street Hail
239620314,36840,PPA_PHL Taxi,0643,,141876,2015-06-12 22:53:00.000,2015-06-12 22:57:00.000,0.1,39.872274,-75.577343,"604 S. WASHINGTON SQUARE",39.820065,-75.254973,"2509 GRAYS FERRY AVE",4.54,0.00,0.00,0.00,0.65,5.19,CASH,Street Hail
239620314,47012,PPA_PHL Taxi,0643,,141876,2015-06-12 22:59:00.000,2015-06-12 23:08:00.000,0.2,39.401159,-75.632174,"201-299 LOCUST",39.793990,-75.563529,"5906 SHISLER ST",7.07,0.00,2.32,0.00,0.65,10.04,CC CARD,Street Hail
394745375,29152,PPA_Philadelphia tax,4491,,527531,2015-06-12 22:20:00.000,2015-06-12 22:49:00.000,0.5,39.237641,-75.082134,"1729 CAMBRIDGE ST",40.688745,-75.173838,"6562 WINDSOR ST",51.23,1.50,10.55,0.00,0.65,63.93,CC CARD,Street Hail
644043195,02989,PPA_All City Taxi,0855,,952889,2015-06-12 23:41:00.000,2015-06-12 23:49:00.000,0.1,39.185229,-75.993686,"2409 WHARTON ST",39.509277,-75.708424,"5038 F ST",11.67,0.00,3.70,0.00,0.65,16.02,CC CARD,Street Hail
644043195,13363,PPA_All City Taxi,0855,,952889,2015-06-12 22:35:00.000,2015-06-12 22:52:00.000,0.3,39.971342,-75.985051,"1400-1498 LOCUST ST",39.015897,-75.831740,"2629 OAKFORD ST",28.50,0.00,5.83,0.00,0.65,34.98,CC CARD,Street Hail
644043195,13385,PPA_All City Taxi,0855,,952889,2015-06-12 23:01:00.000,2015-06-12 23:06:00.000,0.1,39.402831,-75.510462,"440 W SUSQUEHANNA AVE",39.335585,-75.153009,"730 E CHELTEN AVE",5.69,0.00,1.58,0.00,0.65,7.92,CC CARD,Street Hail
